,user,time,x,y,z
319,1,2024-10-22 05:19:00,-1.5221,1.551997,0.28114
320,1,2024-10-22 05:20:00,-2.066757,1.774717,-0.330768
321,1,2024-10-22 05:21:00,-3.676506,3.098429,-0.959004
322,1,2024-10-22 05:22:00,-6.25145,3.507293,-1.871616
323,1,2024-10-22 05:23:00,-5.75734,3.865164,-2.018174
324,1,2024-10-22 05:24:00,-3.024471,3.04941,-1.519476
325,1,2024-10-22 05:25:00,-0.691267,2.540659,-1.523891
326,1,2024-10-22 05:26:00,-1.584335,-0.259347,-1.699593
327,1,2024-10-22 05:27:00,-1.221061,-1.197298,-1.089104
328,1,2024-10-22 05:28:00,-0.634463,-1.857952,-0.753011
329,1,2024-10-22 05:29:00,-1.085564,-1.700246,-0.639928
330,1,2024-10-22 05:30:00,-1.158782,-0.69095,-0.430225
331,1,2024-10-22 05:31:00,-1.150248,-0.224357,-0.43824
332,1,2024-10-22 05:32:00,-1.058911,0.032561,-0.563982
333,1,2024-10-22 05:33:00,-0.875142,0.45422,-0.675402
334,1,2024-10-22 05:34:00,-0.986725,0.792291,-0.67341
335,1,2024-10-22 05:35:00,-1.036308,0.074991,-0.804228
336,1,2024-10-22 05:36:00,-0.923023,-1.02187,-0.99538
337,1,2024-10-22 05:37:00,-0.642493,-1.193612,-0.914152
338,1,2024-10-22 05:38:00,-0.409373,-0.397237,-0.4713
339,1,2024-10-22 05:39:00,-0.491544,0.591558,-0.188994
340,1,2024-10-22 05:40:00,-0.312397,0.874143,0.116339
341,1,2024-10-22 05:41:00,-0.086838,0.599176,0.218679
342,1,2024-10-22 05:42:00,0.21712,0.468692,0.351293
343,1,2024-10-22 05:43:00,0.94424,0.566519,0.56455
344,1,2024-10-22 05:44:00,1.709536,0.462523,0.865926
345,1,2024-10-22 05:45:00,2.344794,0.594631,1.376531
346,1,2024-10-22 05:46:00,2.869225,0.689996,1.581966
347,1,2024-10-22 05:47:00,3.102503,1.002694,1.503078
348,1,2024-10-22 05:48:00,2.663353,1.126381,1.05654
